1	179	99	199	154
1	190	14	28	132
1	89	229	53	26
1	21	33	59	13
1	149	211	90	181
1	246	198	7	19
1	21	144	20	30
1	186	207	33	140
1	2	197	7	4
1	63	187	137	127
1	59	224	64	119
1	200	35	39	111
1	242	193	42	28
1	228	239	31	56
1	179	99	199	154
1	190	14	28	132
1	89	229	53	26
1	21	33	59	13
1	149	211	90	181
1	246	198	7	19
1	21	144	20	30
1	186	207	33	140
1	2	197	7	4
1	63	187	137	127
1	59	224	64	119
1	200	35	39	111
1	242	193	42	28
1	228	239	31	56
1	179	99	199	154
1	190	14	28	132
1	89	229	53	26
1	21	33	59	13
1	149	211	90	181
1	246	198	7	19
1	21	144	20	30
1	186	207	33	140
1	2	197	7	4
1	63	187	137	127
1	59	224	64	119
1	200	35	39	111
1	242	193	42	28
1	228	239	31	56
